City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
570,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
581,Avera,US,76.55,clear sky,33.194,-82.5271,
583,Kieta,PG,79.34,light rain,-6.2167,155.6333,Uruna Bay Retreat
586,Meulaboh,ID,77.86,broken clouds,4.1363,96.1285,Kost Pria
591,La Palma,US,78.82,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
593,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
599,Paragominas,BR,77.31,overcast clouds,-2.9667,-47.4833,INOVA
602,Maragogi,BR,78.94,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
611,Amontada,BR,78.78,overcast clouds,-3.3617,-39.8317,Casa do Otávio
612,Manggar,ID,79.79,broken clouds,-2.8833,108.2667,Guest Hotel
630,Nalut,LY,79.36,scattered clouds,30.3333,10.85,
631,Tebingtinggi,ID,76.64,broken clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
649,Vanimo,PG,77.92,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
650,Adrar,MR,77.43,clear sky,20.5022,-10.0711,
654,Pakala,IN,77.49,clear sky,13.4667,79.1167,ViswanathBollineni guesthouse @
665,Gamba,GA,76.62,broken clouds,-2.65,10.0,
679,Xuddur,SO,78.94,broken clouds,4.1213,43.8894,Banjanay Hotel
681,Honiara,SB,77.95,overcast clouds,-9.4333,159.95,Heritage Park Hotel
687,Houma,US,79.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
700,Karratha,AU,77.7,light rain,-20.7377,116.8463,ibis Styles Karratha
